"COUNTRY","EBOLA_MEASURE","CASE_DEFINITION","INDICATOR_TYPE","DATAPACKAGEID","EPI_DATE","Display Value","Numeric","Low","High","Comments"
"GIN","CASES","CONF_PROB_SUSP","SITREP_CUMULATIVE","2015-03-13","2015-03-11","3331","3331.00000","0.00000","0.00000",""
"GIN","CASES","CONFIRMED","SITREP_CUMULATIVE","2015-03-13","2015-03-11","2911","2911.00000","0.00000","0.00000",""
"GIN","CASES","PROBABLE","SITREP_CUMULATIVE","2015-03-13","2015-03-11","395","395.00000","0.00000","0.00000",""
"GIN","CASES","SUSPECTED","SITREP_CUMULATIVE","2015-03-13","2015-03-11","25","25.00000","0.00000","0.00000",""
"GIN","DEATHS","CONF_PROB_SUSP","SITREP_CUMULATIVE","2015-03-13","2015-03-11","2192","2192.00000","0.00000","0.00000",""
"GIN","DEATHS","CONFIRMED","SITREP_CUMULATIVE","2015-03-13","2015-03-11","1797","1797.00000","0.00000","0.00000",""
"GIN","DEATHS","PROBABLE","SITREP_CUMULATIVE","2015-03-13","2015-03-11","395","395.00000","0.00000","0.00000",""
"GIN","DEATHS","SUSPECTED","SITREP_CUMULATIVE","2015-03-13","2015-03-11","Not available","","0.00000","0.00000","Not available"
"LBR","CASES","CONF_PROB_SUSP","SITREP_CUMULATIVE","2015-03-13","2015-03-12","9482","9482.00000","0.00000","0.00000",""
"LBR","CASES","CONFIRMED","SITREP_CUMULATIVE","2015-03-13","2015-03-12","3150","3150.00000","0.00000","0.00000",""
"LBR","CASES","PROBABLE","SITREP_CUMULATIVE","2015-03-13","2015-03-12","1879","1879.00000","0.00000","0.00000",""
"LBR","CASES","SUSPECTED","SITREP_CUMULATIVE","2015-03-13","2015-03-12","4453","4453.00000","0.00000","0.00000",""
"LBR","DEATHS","CONF_PROB_SUSP","SITREP_CUMULATIVE","2015-03-13","2015-03-12","4241","4241.00000","0.00000","0.00000",""
"LBR","DEATHS","CONFIRMED","SITREP_CUMULATIVE","2015-03-13","2015-03-12","Not available","","0.00000","0.00000","Not available"
"LBR","DEATHS","PROBABLE","SITREP_CUMULATIVE","2015-03-13","2015-03-12","Not available","","0.00000","0.00000","Not available"
"LBR","DEATHS","SUSPECTED","SITREP_CUMULATIVE","2015-03-13","2015-03-12","Not available","","0.00000","0.00000","Not available"
"SLE","CASES","CONF_PROB_SUSP","SITREP_CUMULATIVE","2015-03-13","2015-03-11","11 696","11696.00000","0.00000","0.00000",""
"SLE","CASES","CONFIRMED","SITREP_CUMULATIVE","2015-03-13","2015-03-11","8469","8469.00000","0.00000","0.00000",""
"SLE","CASES","PROBABLE","SITREP_CUMULATIVE","2015-03-13","2015-03-11","287","287.00000","0.00000","0.00000",""
"SLE","CASES","SUSPECTED","SITREP_CUMULATIVE","2015-03-13","2015-03-11","2940","2940.00000","0.00000","0.00000",""
"SLE","DEATHS","CONF_PROB_SUSP","SITREP_CUMULATIVE","2015-03-13","2015-03-11","3663","3663.00000","0.00000","0.00000",""
"SLE","DEATHS","CONFIRMED","SITREP_CUMULATIVE","2015-03-13","2015-03-11","3297","3297.00000","0.00000","0.00000",""
"SLE","DEATHS","PROBABLE","SITREP_CUMULATIVE","2015-03-13","2015-03-11","208","208.00000","0.00000","0.00000",""
"SLE","DEATHS","SUSPECTED","SITREP_CUMULATIVE","2015-03-13","2015-03-11","158","158.00000","0.00000","0.00000",""
"UNSPECIFIED","CASES","CONF_PROB_SUSP","SITREP_CUMULATIVE","2015-03-13","","24 509","24509.00000","","","This total only includes the high transmission countries (Guinea/Liberia/Sierra Leone)"
"UNSPECIFIED","DEATHS","CONF_PROB_SUSP","SITREP_CUMULATIVE","2015-03-13","","10 096","10096.00000","","","This total only includes the high transmission countries (Guinea/Liberia/Sierra Leone)"
"UNSPECIFIED","CASES","CONFIRMED","SITREP_CUMULATIVE","2015-03-13","","14 530","14530.00000","","","This total only includes the high transmission countries (Guinea/Liberia/Sierra Leone)"
"UNSPECIFIED","CASES","PROBABLE","SITREP_CUMULATIVE","2015-03-13","","2561","2561.00000","","","This total only includes the high transmission countries (Guinea/Liberia/Sierra Leone)"
"UNSPECIFIED","CASES","SUSPECTED","SITREP_CUMULATIVE","2015-03-13","","7418","7418.00000","","","This total only includes the high transmission countries (Guinea/Liberia/Sierra Leone)"
"UNSPECIFIED","DEATHS","CONFIRMED","SITREP_CUMULATIVE","2015-03-13","","Not available","","","","Not available"
"UNSPECIFIED","DEATHS","PROBABLE","SITREP_CUMULATIVE","2015-03-13","","Not available","","","","Not available"
"UNSPECIFIED","DEATHS","SUSPECTED","SITREP_CUMULATIVE","2015-03-13","","Not available","","","","Not available"
