1972/01,1972,1,18907,11902,414,2963,542,367,951,,,,,,,2047,388,907,674
1972/02,1972,2,21182,13929,313,3292,342,675,1240,,,,,,,1950,418,1003,695
1972/03,1972,3,31117,20011,415,5437,572,764,2338,,,,,,,2939,924,1333,982
1972/04,1972,4,42646,28518,630,6709,457,995,2928,,,,,,,3355,1079,1659,1775
1972/05,1972,5,80735,57660,1223,11394,728,2168,4851,,,,,,,4922,1661,2628,2908
1972/06,1972,6,116330,87691,1858,13494,1003,2263,4886,,,,,,,6325,1597,3011,3951
1972/07,1972,7,169687,130596,2136,16653,1433,2711,7728,,,,,,,11122,3095,4958,4222
1972/08,1972,8,151084,105956,2155,21263,2392,2603,10522,,,,,,,13084,3656,4412,4214
1972/09,1972,9,106516,69176,1979,17247,2328,3613,6629,,,,,,,10077,2034,4289,3748
1972/10,1972,10,75873,51101,1252,11571,712,2331,5570,,,,,,,6194,1363,3157,2598
1972/11,1972,11,41945,27183,821,6385,461,873,3008,,,,,,,3775,851,2067,1714
1972/12,1972,12,46166,31631,1018,5153,1051,492,1787,,,,,,,4689,979,1804,1871
1973/01,1973,1,27273,16641,550,4163,746,309,1847,,,,,,,2502,597,1604,1813
1973/02,1973,2,27818,18434,564,4013,336,344,2206,,,,,,,2267,557,1426,1114
1973/03,1973,3,36960,24615,714,5062,372,527,2501,,,,,,,3262,905,1883,1424
1973/04,1973,4,64600,45238,1522,7437,661,782,3793,,,,,,,5297,1644,2197,2909
1973/05,1973,5,91698,66073,1724,11113,869,1567,5496,,,,,,,6239,2388,2811,3738
1973/06,1973,6,140282,106796,2626,15187,1146,1869,7692,,,,,,,7179,2059,3376,5118
1973/07,1973,7,212089,163738,3373,18622,1814,1849,9820,,,,,,,14975,4148,5991,5390
1973/08,1973,8,179051,125769,2899,24835,3399,1750,13576,,,,,,,15188,3862,4755,5605
1973/09,1973,9,123748,85199,2281,16993,1960,1588,8792,,,,,,,10694,2426,3829,4752
1973/10,1973,10,90865,63365,1548,13096,690,1540,7918,,,,,,,5732,1771,2979,4145
1973/11,1973,11,52608,34604,872,8730,594,900,4885,,,,,,,3926,941,2146,2330
1973/12,1973,12,57852,39222,1309,6730,1239,763,2569,,,,,,,5542,1219,2187,2862
1974/01,1974,1,33233,20270,824,5040,711,420,2374,,,,,,,3043,676,2018,2038
1974/02,1974,2,30070,18622,676,4555,466,381,2377,,,,,,,2766,658,1740,1711
1974/03,1974,3,45339,29534,869,6777,677,633,3293,,,,,,,4103,1070,2044,2012
1974/04,1974,4,68636,46403,1323,9441,707,1097,4872,,,,,,,5097,1719,2602,3770
1974/05,1974,5,101613,69384,2083,13319,1148,1878,6083,,,,,,,8294,3030,3458,5075
1974/06,1974,6,158022,114940,3206,18855,1553,2635,7927,,,,,,,9291,2775,4260,7470
1974/07,1974,7,224225,167828,3602,22186,2233,2568,9775,,,,,,,17080,4821,6330,7199
1974/08,1974,8,202349,134543,4458,31315,4695,2362,15211,,,,,,,18921,4661,5253,7859
1974/09,1974,9,143677,97283,3416,21046,1980,2310,9798,,,,,,,11317,2687,4772,5843
1974/10,1974,10,96773,63067,2126,16335,819,1912,8686,,,,,,,6906,2035,3892,4447
1974/11,1974,11,52812,32644,1051,9517,723,1059,4412,,,,,,,4590,1286,2647,2363
1974/12,1974,12,62507,40861,1714,8244,1659,836,2735,,,,,,,6005,1552,2654,3029
1975/01,1975,1,38558,23320,960,5879,904,587,2234,,,,,,,3588,854,2486,2325
1975/02,1975,2,34985,22611,731,5140,516,553,2260,,,,,,,2793,728,2057,1653
1975/03,1975,3,56185,37443,1091,8776,876,698,4014,,,,,,,4635,1681,2139,2101
1975/04,1975,4,62220,38857,1974,9965,823,958,5352,,,,,,,5024,1422,2618,3782
1975/05,1975,5,117958,79101,2243,16972,1293,2745,7636,,,,,,,9695,4049,4195,5752
1975/06,1975,6,185232,136570,3183,22227,1809,2872,10603,,,,,,,10445,3286,5268,7539
1975/07,1975,7,239274,171764,3913,28778,3041,3113,13491,,,,,,,20975,6918,6746,7098
1975/08,1975,8,229423,142582,4182,44405,5753,4067,21574,,,,,,,22751,6839,7132,8371
1975/09,1975,9,139435,92616,3280,21118,2222,2286,9328,,,,,,,12280,3309,4452,5689
1975/10,1975,10,102874,69157,2019,16204,997,2106,7971,,,,,,,7102,2371,3553,4839
1975/11,1975,11,53392,33496,1121,8758,826,1096,3543,,,,,,,4690,1249,2695,2632
1975/12,1975,12,68020,44805,1499,8217,1718,942,2405,,,,,,,6743,2090,3029,3727
1976/01,1976,1,39561,23182,983,6143,844,562,2370,,,,,,,3824,973,2595,2834
1976/02,1976,2,35920,22082,868,6051,688,656,2429,,,,,,,3123,734,2264,1532
1976/03,1976,3,50609,32567,1141,8395,835,742,3902,,,,,,,3851,1016,2186,2469
1976/04,1976,4,76863,49522,1813,10684,1161,1375,4592,,,,,,,7485,2553,3359,4000
1976/05,1976,5,131831,87071,2793,19988,1836,3616,7913,,,,,,,10023,4783,4963,6993
1976/06,1976,6,209780,151121,3948,27489,2008,4697,11475,,,,,,,10850,3952,5776,10596
1976/07,1976,7,365382,252251,7869,47032,4182,6235,20623,,,,,,,32186,9424,11782,14262
1976/08,1976,8,264981,166203,5200,49762,5654,5141,25946,,,,,,,23813,6290,9397,10606
1976/09,1976,9,172060,115567,3590,27399,2391,4016,12349,,,,,,,12227,2565,5753,7524
1976/10,1976,10,106968,71697,2151,17669,1167,2309,8245,,,,,,,6469,1722,3858,5124
1976/11,1976,11,53502,32278,1442,10060,788,1181,4209,,,,,,,4497,926,2654,2571
1976/12,1976,12,69873,45770,2035,8914,1511,890,2730,,,,,,,6235,1035,3021,3898
1977/01,1977,1,39676,23000,1329,6429,897,579,2291,,,,,,,3480,686,2182,3256
1977/02,1977,2,34161,20524,818,5859,707,421,2797,,,,,,,2994,704,2054,1912
1977/03,1977,3,51481,33434,1310,8178,734,714,3981,,,,,,,4117,965,2198,2244
1977/04,1977,4,75247,47573,2189,11716,931,1063,5597,,,,,,,6517,1544,3469,3783
1977/05,1977,5,126154,85845,2945,17171,1589,2365,6876,,,,,,,7653,2685,5298,7242
1977/06,1977,6,202633,148491,4086,26364,1904,2986,11556,,,,,,,9475,2616,5484,8733
1977/07,1977,7,269022,184194,5917,35963,3765,3752,14400,,,,,,,23978,6120,8693,10277
1977/08,1977,8,236031,146418,5229,45766,5133,3462,23010,,,,,,,19171,4010,9508,9939
1977/09,1977,9,162143,106461,3799,25757,2532,2876,11027,,,,,,,12022,2309,6655,7449
1977/10,1977,10,105043,69606,2202,17153,1013,1867,9005,,,,,,,6627,1740,4912,4543
1977/11,1977,11,54514,33868,1351,10005,774,920,4518,,,,,,,4248,926,2479,2563
1977/12,1977,12,68579,44731,1960,7913,1225,737,2474,,,,,,,6798,1585,3271,3906
1978/01,1978,1,40238,23744,1266,6253,810,440,2403,,,,,,,3587,831,2469,2919
1978/02,1978,2,36236,21723,897,6841,709,458,3520,,,,,,,2846,744,1984,1945
1978/03,1978,3,58619,37012,1313,9791,832,825,4782,,,,,,,5247,1537,2782,2474
1978/04,1978,4,78090,49207,1757,13584,852,1135,6786,,,,,,,5828,1469,3551,4163
1978/05,1978,5,145708,101146,2774,21223,1483,3148,8477,,,,,,,8309,3272,4746,7510
1978/06,1978,6,231244,165560,4618,32484,2010,3539,14992,,,,,,,11516,3350,5872,11194
1978/07,1978,7,327948,222400,6445,46997,3700,5148,19454,,,,,,,27608,7979,10056,14442
1978/08,1978,8,296917,182899,5570,59641,4654,5001,31279,,,,,,,23666,6336,12676,12465
1978/09,1978,9,195183,126186,4581,33657,2480,3710,15494,,,,,,,14084,3487,7405,9270
1978/10,1978,10,120152,77276,2469,22314,936,2511,10836,,,,,,,7592,2435,4806,5695
1978/11,1978,11,64649,38971,1751,13321,673,1294,6215,,,,,,,4956,1070,2904,2746
1978/12,1978,12,78679,49711,2422,10632,1291,1032,3589,,,,,,,7787,2195,3850,4277
1979/01,1979,1,42811,24717,1241,7431,946,558,2823,,,,,,,3612,742,2582,3228
1979/02,1979,2,41311,24240,902,8402,789,511,4198,,,,,,,3546,778,2359,1862
1979/03,1979,3,61410,36693,1403,12681,883,904,6951,,,,,,,4682,1294,2832,3119
1979/04,1979,4,106922,67746,2070,16859,1119,1540,7481,,,,,,,8701,3260,4298,7248
1979/05,1979,5,182173,124022,3088,30115,1658,4171,13652,,,,,,,9113,2894,6009,9826
1979/06,1979,6,283223,193442,5217,47277,2146,5563,23243,,,,,,,15624,5037,9012,12651
1979/07,1979,7,398975,281494,6612,54476,4121,5875,21807,,,,,,,30525,9528,12693,13175
1979/08,1979,8,361134,230433,6637,69163,5589,6100,33316,,,,,,,28655,6846,14396,11850
1979/09,1979,9,237568,155156,4835,40907,2760,5396,18441,,,,,,,16183,4235,9894,10593
1979/10,1979,10,137701,86061,2540,27433,1126,3264,14313,,,,,,,8820,2673,5685,7162
1979/11,1979,11,71202,39971,1532,16469,854,1614,8113,,,,,,,5658,1316,3871,3701
1979/12,1979,12,86202,51620,2646,13353,1842,1204,4244,,,,,,,9064,2240,4828,4691
1980/01,1980,1,49248,27216,1341,9427,1306,720,3431,,,,,,,4396,1004,3352,3516
1980/02,1980,2,57984,35436,1187,11077,1280,1056,5403,,,,,,,4122,952,3404,2758
1980/03,1980,3,73684,42254,1718,13986,1060,1242,6825,,,,,,,7541,3260,3598,4587
1980/04,1980,4,107049,63231,2228,21521,1255,2342,10126,,,,,,,8675,2835,4864,6530
1980/05,1980,5,205824,137444,3615,35730,1852,6534,15143,,,,,,,11541,4088,6981,10513
1980/06,1980,6,298136,200394,6176,52300,2960,7097,23131,,,,,,,17535,5934,9617,12114
1980/07,1980,7,413503,279175,7853,60595,5772,8110,21955,,,,,,,37179,14759,15421,13280
1980/08,1980,8,397439,246796,7671,77121,7952,8592,33416,,,,,,,36155,11206,18741,10955
1980/09,1980,9,244382,158663,5503,42887,2788,5473,18927,,,,,,,17517,4821,10308,9504
1980/10,1980,10,139814,86355,3066,26771,1322,3514,11918,,,,,,,10050,3552,6154,7418
1980/11,1980,11,78911,44523,1877,17190,1016,2274,7041,,,,,,,7181,2176,4132,4008
1980/12,1980,12,97039,56365,3124,16224,2276,1593,4937,,,,,,,11154,3730,5335,4837
1981/01,1981,1,56615,30891,1756,11441,2004,1144,4002,,,,,,,4930,1359,4337,3260
1981/02,1981,2,53091,29413,1196,11564,1519,1199,4944,,,,,,,4363,1409,3835,2720
1981/03,1981,3,71836,41403,1713,14250,1086,1550,6477,,,,,,,5710,2042,3858,4902
1981/04,1981,4,119900,72334,2726,20626,1836,2292,8000,,,,,,,11902,5700,5590,6722
1981/05,1981,5,210212,138691,4292,37044,2381,6790,13775,,,,,,,12139,5064,7948,10098
1981/06,1981,6,297174,200764,6067,54901,2889,8311,21263,,,,,,,15876,5651,8528,11038
1981/07,1981,7,416989,277240,8200,65239,6623,9040,21211,,,,,,,39159,17401,15070,12081
1981/08,1981,8,371026,229598,8312,71507,9516,7942,27257,,,,,,,35415,14355,15212,10982
1981/09,1981,9,233388,149315,6048,41963,3512,6305,15583,,,,,,,18367,6150,8547,9148
1981/10,1981,10,139754,83547,3319,28631,1519,3503,12345,,,,,,,10944,4183,6362,6951
1981/11,1981,11,79063,43953,2131,17404,1299,1380,7367,,,,,,,7245,2080,4109,4221
1981/12,1981,12,95684,53502,3331,16924,2740,1071,4237,,,,,,,11880,3789,5005,5042
1982/01,1982,1,57728,30762,2502,11192,2491,711,3574,,,,,,,5801,2029,3586,3885
1982/02,1982,2,47278,27327,1113,9558,1300,460,4412,,,,,,,3857,1191,2560,2863
1982/03,1982,3,69517,41456,1779,13418,1305,699,5849,,,,,,,5602,1730,3075,4187
1982/04,1982,4,109624,66248,3067,19890,1939,1241,7824,,,,,,,9918,3293,4715,5786
1982/05,1982,5,195100,130839,4241,32362,2291,3396,12112,,,,,,,10505,3109,6734,10419
1982/06,1982,6,268119,180853,5940,45576,3258,3896,17718,,,,,,,15296,4682,8043,12411
1982/07,1982,7,376203,244518,7880,61547,7173,4588,22593,,,,,,,35912,12289,14101,12245
1982/08,1982,8,353495,208699,9006,72933,10013,4750,29538,,,,,,,34019,9652,17195,11643
1982/09,1982,9,223034,141858,6015,39170,3707,3658,14963,,,,,,,15646,2736,10100,10245
1982/10,1982,10,126330,75059,3352,27001,1860,2107,11640,,,,,,,8062,1641,6345,6511
1982/11,1982,11,64421,37682,1721,13465,1235,1084,5323,,,,,,,5119,827,3020,3414
1982/12,1982,12,83812,46453,4010,15328,2987,740,3901,,,,,,,8429,1231,4848,4744
1983/01,1983,1,50374,27432,1931,9808,1815,594,2313,,,,,,,4317,775,3353,3533
1983/02,1983,2,49764,27452,1422,11297,2301,553,4338,,,,,,,4150,980,2818,2625
1983/03,1983,3,71751,42063,1781,14266,1618,750,5642,,,,,,,6303,1490,3495,3843
1983/04,1983,4,96485,58692,2960,19095,1894,1500,7306,,,,,,,6588,1213,3915,5235
1983/05,1983,5,157999,98430,3607,33839,3000,3682,12180,,,,,,,8780,1798,4900,8443
1983/06,1983,6,249045,152980,7463,54412,4336,4835,20371,,,,,,,14341,3149,7905,11944
1983/07,1983,7,325757,199703,8874,65903,8552,5082,21595,,,,,,,29849,5938,10653,10775
1983/08,1983,8,298387,176053,8179,71079,10448,4730,27563,,,,,,,24111,4804,9106,9859
1983/09,1983,9,195862,118360,6144,41274,4299,3321,15471,,,,,,,14345,2702,6637,9102
1983/10,1983,10,117113,66682,3052,27339,2586,2539,11614,,,,,,,8336,2074,4843,6861
1983/11,1983,11,70529,39651,1782,16190,2034,1305,5284,,,,,,,5795,1283,3076,4035
1983/12,1983,12,92673,52659,3408,17894,3488,1058,4139,,,,,,,8928,1535,4396,5388
1984/01,1984,1,56837,31440,1906,11941,2372,725,3668,,,,,,,5045,1064,2943,3562
1984/02,1984,2,54969,30268,1157,13058,2499,759,5005,,,,,,,4306,974,3082,3098
1984/03,1984,3,69082,39023,1723,15464,1787,973,6466,,,,,,,5464,1340,2937,4471
1984/04,1984,4,111892,63536,2767,25618,3064,1735,9202,,,,,,,9432,2755,3755,6784
1984/05,1984,5,165462,101136,3836,37948,3256,4496,13941,,,,,,,9116,2241,4463,8963
1984/06,1984,6,255879,154961,6201,59278,5119,6486,22145,,,,,,,14842,4116,7123,13474
1984/07,1984,7,338371,206090,8795,69414,9361,5670,24183,,,,,,,30758,9540,9591,13723
1984/08,1984,8,329572,190970,8425,81157,11560,5487,33930,,,,,,,27715,6961,8266,13039
1984/09,1984,9,205041,122563,5640,44933,5025,3685,17971,,,,,,,15336,3537,5916,10653
1984/10,1984,10,121855,68323,2973,29617,2564,2645,12911,,,,,,,8777,2727,4236,7929
1984/11,1984,11,82051,46284,1967,19113,1922,1351,7384,,,,,,,6088,1507,3311,5288
1984/12,1984,12,96211,55712,2952,19202,3034,1131,5440,,,,,,,8989,2055,3424,5932
1985/01,1985,1,56721,31464,1748,11813,1916,668,4026,,,,,,,4444,1060,2843,4409
1985/02,1985,2,54513,30736,1210,12879,2548,657,5105,,,,,,,3938,953,2494,3256
1985/03,1985,3,77311,44336,1629,18401,1845,1017,7617,,,,,,,5419,1910,3006,4520
1985/04,1985,4,104843,58599,2295,25192,2266,1857,10662,,,,,,,7955,2721,3716,7086
1985/05,1985,5,176363,103964,3632,43557,3115,5222,17512,,,,,,,10268,2941,5347,9595
