#Year	Canadian, direct or via US Table 427-0001
1946	NA
1947	37000
1948	44000
1949	49000
1950	56000
1951	55000
1952	65000
1953	81000
1954	96000
1955	117000
1956	139000
1957	159000
1958	174000
1959	203000
1960	241000
1961	277000
1962	311000
1963	342000
1964	392000
1965	456000
1966	503000
1967	522000
1968	638000
1969	852000
1970	1099000
1971	1197000
1972	1143530
1973	1360247
1974	1434338
1975	1554188
1976	1582260
1977	1776835
1978	1808277
1979	1757079
1980	1585099
1981	1477605
1982	1489106
1983	1752358
1984	2011663
1985	2300608
1986	2284691
1987	2647618
1988	2800670
1989	2996335
1990	3152724
1991	2823706
1992	3102583
1993	3267886
1994	3374117
1995	3543178
1996	3672190
1997	3983596
1998	4217636
1999	4251657
2000	4515545
2001	4832116
2002	4680267
2003	5073597
2004	5738996
2005	6236951
2006	6738938
2007	7403835
2008	8124012
2009	8229916
2010	8716917
2011	9108421
2012	9569923
2013	9589501
