#Year	Non-USaC, direct or via US
1946	12000
1947	22000
1948	27000
1949	35000
1950	30000
1951	34000
1952	38000
1953	38000
1954	42000
1955	48000
1956	53000
1957	62000
1958	66000
1959	67000
1960	72000
1961	NA
1962	NA
1963	NA
1964	349000
1965	401000
1966	411000
1967	590000
1968	362000
1969	463000
1970	536000
1971	543000
1972	902188
1973	1104844
1974	1219256
1975	1327556
1976	1577330
1977	1424684
1978	1673663
1979	2010632
1980	2163013
1981	2144732
1982	1974661
1983	1775739
1984	1887222
1985	1808038
1986	2259827
1987	2642636
1988	3105860
1989	3276838
1990	3256391
1991	3240529
1992	3303479
1993	3477721
1994	3791990
1995	4326789
1996	4785302
1997	4586247
1998	4206537
1999	4425280
2000	4643692
2001	4275361
2002	4018088
2003	3393051
2004	4218552
2005	4505094
2006	4517537
2007	4678912
2008	4764464
2009	4170106
2010	4455634
2011	4522675
2012	4598763
2013	4731686
