#year	Total number of international air passengers to and from the U.S.
1950	1074000
1954	1853000
1955	2207000
1956	2643000
1957	3053000
1958	3827000
1959	4064000
1960	4576000
1961	4954000
1962	5364000
1963	5997000
1964	6905000
1965	8996000
1966	10589000
1967	12456000
1968	14160000
1969	16605000
1970	18960000
1971	20784000
1972	25020000
1973	26659000
1974	26055000
1975	24699000
1980	39518000
1985	46643000
1990	70460000
1991	68750000
1992	75138000
1993	79812000
1994	84167000
1995	89936000
1996	95638000
1997	103999000
1998	107044000
1999	111641000
2000	119715000
2001	109294000
2002	102470700
2003	103919304
2004	115513550
2005	119243947
2006	122428786
2007	128225361
2008	132688165
2009	127543745
2010	136157577
2011	143188849
